Club	Pts.	PJ	PG	PE	PP	GF	GC	Pts.	PJ	PG	PE	PP	GF	GC	Pts.	PJ	PG	PE	PP	GF	GC
Barcelona	65	25	21	2	2	47	8	32	12	10	2	0	25	1	33	13	11	0	2	22	7
Real Madrid	56	25	17	5	3	50	19	28	12	8	4	0	26	9	28	13	9	1	3	24	10
Atlético	48	25	14	6	5	39	19	21	12	6	3	3	22	11	27	13	8	3	2	17	8
R. Sociedad	45	25	13	6	6	33	24	19	12	5	4	3	13	12	26	13	8	2	3	20	12
Betis	42	25	12	6	7	33	26	21	12	6	3	3	18	12	21	13	6	3	4	15	14
Villarreal	38	25	11	5	9	29	24	23	12	7	2	3	17	10	15	13	4	3	6	12	14
Rayo	35	25	9	8	8	29	28	19	12	5	4	3	16	12	16	13	4	4	5	13	16
Osasuna	34	25	9	7	9	22	24	19	12	6	1	5	12	11	15	13	3	6	4	10	13
Athletic	33	25	9	6	10	33	27	20	13	6	2	5	18	11	13	12	3	4	5	15	16
Mallorca	32	25	9	5	11	22	26	21	13	6	3	4	13	10	11	12	3	2	7	9	16
Celta	31	25	8	7	10	29	34	19	13	5	4	4	19	14	12	12	3	3	6	10	20
Girona1	30	25	8	6	11	38	39	21	13	6	3	4	23	18	9	12	2	3	7	15	21
Sevilla	28	25	7	7	11	29	40	18	13	5	3	5	16	16	10	12	2	4	6	13	24
Real Valladolid	28	25	8	4	13	19	35	20	12	6	2	4	11	10	8	13	2	2	9	8	25
Espanyol	27	25	6	9	10	31	39	13	12	3	4	5	16	20	14	13	3	5	5	15	19
Cádiz	27	25	6	9	10	20	37	18	13	4	6	3	14	17	9	12	2	3	7	6	20
Valencia	26	25	7	5	13	28	28	20	13	6	2	5	20	12	6	12	1	3	8	8	16
Getafe	26	25	6	8	11	25	34	16	13	4	4	5	14	16	10	12	2	4	6	11	18
Almería	25	25	7	4	14	29	44	22	13	7	1	5	20	17	3	12	0	3	9	9	27
Elche	13	25	2	7	16	19	49	7	13	1	4	8	11	21	6	12	1	3	8	8	28
